"501st Legion, 1st Regiment, 3rd Battalion",,,,,,,,,,,
Unified Qualification Roster,,,,,,,,,,,
Nickname,Birth Number,Assault,RAMR,Support,Advanced Support,Grenadier,Marksman,Jumpmaster,Combat Engineer,RTO Basic,RTO Qualified
Exose,91573,PASS,PASS,PASS,,PASS,PASS,,,,
Fakie,39580,PASS,,PASS,,PASS,PASS,,,PASS,
Fallout,,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Fennec,10219,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Fenrir,52728,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Fiend,27754,PASS,,PASS,,PASS,PASS,,,,
Fixit,85762,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Flak,81703,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Flare,31242,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Flex,64253,,,PASS,,,,,,,
Floff,,,,,,,,,,PASS,
Flog,,,,,,,,,,PASS,
Flooded,97047,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Fluorite,26756,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Fly,96786,PASS,,PASS,,,PASS,,,PASS,
Ford,71045,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Foxxy,18097,PASS,,,,,,,,,
Frost,9537,PASS,,PASS,,,PASS,,,,
Galahad,99150,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Galaxy,51293,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Gallagher,95624,PASS,,PASS,,PASS,PASS,,,,
Gamble,1597,,,PASS,,PASS,PASS,,,PASS,PASS
Garviel,85579,PASS,PASS,PASS,,,PASS,PASS,,PASS,PASS
Genesis,65851,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Ghilly,19045,,,PASS,,PASS,PASS,,,PASS,
ghost,15089,,,,,,,,,PASS,
Ginger,56981,PASS,,PASS,,,PASS,PASS,,PASS,PASS
Gladiator,71337,PASS,,,,,,,,,
Glass,17771,PASS,,,,,PASS,PASS,,PASS,PASS
Glue,42069,PASS,,PASS,,PASS,,,,PASS,
Goddest,88396,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Goldarp,,,,PASS,,PASS,PASS,,,PASS,PASS
Gothic,46875,PASS,,PASS,,PASS,,,,PASS,PASS
Grady,32505,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Graze,74679,PASS,,,,,,,,PASS,
Great,76238,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Greene,10619,,,PASS,,,,,,,
Griffin,38474,PASS,,PASS,,,PASS,PASS,,,
Griffin ,388474,,,,,PASS,,,,,
Griggs,14141,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Grinch,29236,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Gruber,22091,,,,,,,,,PASS,
Guide,72703,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS
Gull,,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Gunny,3947,PASS,PASS,,,PASS,PASS,,,,
Guns,19627,,,,,,,,,,
Guts,54619,PASS,,PASS,,PASS,PASS,,,PASS,PASS
guts,54619,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Habas,22475,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Habit,19902,PASS,,PASS,,PASS,,,,,PASS
Habivi,,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Hackett,10110,PASS,,PASS,,,,PASS,,PASS,PASS
Hades,19019,PASS,,PASS,,,PASS,,,,
Halligan,44545,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Halo,,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Hantar,50113,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Hardy,14150,PASS,,PASS,,PASS,PASS,,,,
Hegener,71418,PASS,,PASS,,PASS,PASS,,PASS,PASS,PASS
hegener,71418,PASS,,PASS,,PASS,PASS,,PASS,PASS,PASS
Helm,43677,,,,,,PASS,,,PASS,PASS
Hobnob,,PASS,,PASS,,,PASS,,,PASS,PASS
Holiday,36985,PASS,,PASS,,PASS,PASS,,,,
Hollis,24030,PASS,,,,,,,,,
Hoodoo,2900,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Hook,25711,PASS,,PASS,,PASS,PASS,,,PASS,
Hoover,15923,PASS,,PASS,,,,,,,
Hosed,1817,PASS,,,,PASS,,,,PASS,
House,42020,,,PASS,,,,,,,
Hungarian,,PASS,,PASS,,PASS,PASS,,,PASS,
Husky,13288,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Hyper,,,,PASS,,PASS,,,,PASS,
ichigo,36010,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Ichigo,36010,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Ifrus,10223,PASS,,PASS,,PASS,PASS,,,,
Indie,14329,PASS,,,,PASS,,,,,
Indigo,66415,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Infinite,74218,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,
Iroh,97368,PASS,,PASS,,PASS,PASS,,,PASS,
Iron,14209,PASS,,PASS,PASS,PASS,PASS,,PASS,PASS,
Jaeger,,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Jaisus,43687,,,PASS,,PASS,,,,,
Jakel,15329,PASS,,PASS,,PASS,PASS,,,,
James,10125,PASS,,,,,,,,,
Jan,,PASS,PASS,PASS,,PASS,,,,PASS,PASS
Jax,15533,,,,,,,,,,
Jericho,11027,PASS,,PASS,,PASS,PASS,,,PASS,
Jester,65612,,,PASS,,,,,,PASS,PASS
Jimmy,76561,PASS,,PASS,,PASS,PASS,PASS,,PASS,
Jink,08520,PASS,PASS,PASS,,PASS,PASS,,PASS,PASS,PASS
Joel,68304,,,PASS,,,,,,,
Journey,58940,,,PASS,,,,,,,
Jub,16488,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Juggernaut,30138,PASS,,PASS,,PASS,PASS,PASS,,PASS,PASS
Juice,12973,,,PASS,,PASS,,,,PASS,PASS
Jumba,36548,,,PASS,,,,,,,
Jupiter,2947,PASS,PASS,PASS,,PASS,PASS,,,PASS,
Jux,91130,,,PASS,,,,,,,
Kahn,50250,PASS,,PASS,,PASS,PASS,PASS,,PASS,PASS
Kain,69707,PASS,,,,,,,,,
Kaj,92201,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Kamikaze,71421,PASS,,,,,,,,,
Kavas,97513,PASS,,PASS,,,,,,,
Keishin,82370,PASS,,PASS,,,,,,PASS,PASS
Kenny,30501,,,PASS,,,,PASS,,,
Keryl,48572,,,PASS,,,PASS,,,,
Kestrel,31313,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Khano,16059,PASS,,PASS,,,PASS,,,,
Khyrek,28079,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Killer,13349,PASS,,PASS,,PASS,PASS,,,PASS,PASS
King,1516,,,,,,PASS,,,,
Kitsune,70496,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Kitti,46170,PASS,PASS,,,PASS,PASS,,,PASS,
Klein,1939,PASS,,PASS,,PASS,PASS,,,,
Klinger,54077,PASS,PASS,PASS,,PASS,PASS,PASS,PASS,PASS,PASS
Klown,6732,PASS,PASS,PASS,,PASS,PASS,PASS,,PASS,PASS
Knight,56273,PASS,,PASS,,PASS,PASS,,PASS,PASS,
Koda,3452,,,,,,,,,,
Komodo,65787,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Koop,4256,PASS,,,,,,,,,
Korvak,82992,PASS,,PASS,,PASS,PASS,PASS,,PASS,PASS
Korvus,,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Krios,71179,,,PASS,,,,,,,
Kryptic,36324,PASS,PASS,PASS,,PASS,PASS,,,PASS,PASS
Kumiko,69420,PASS,,,,,,,,PASS,PASS
Kurtfurst,87530,,,,,PASS,PASS,,,,
Kushiban,25023,,PASS,PASS,,PASS,PASS,,,PASS,PASS
Kyrie,46735,PASS,,,,PASS,PASS,PASS,,PASS,PASS
Lantern,65577,PASS,,,,,PASS,,,,
Larry,98756,PASS,,PASS,,PASS,PASS,,PASS,,
Lasse,42137,PASS,,,,,,,,PASS,PASS
Lava,1044,PASS,,,,PASS,PASS,,,PASS,
Law,13135,PASS,,PASS,,PASS,PASS,,,,
Legal,50973,PASS,PASS,PASS,,PASS,PASS,,,,PASS
Legia,18404,PASS,,PASS,,PASS,,PASS,,PASS,PASS
Legion,12649,PASS,,PASS,,,,,,PASS,PASS
Lemartes,41505,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Len,18019,PASS,,PASS,,,PASS,PASS,PASS,PASS,
Leon,91537,PASS,PASS,PASS,PASS,PASS,PASS,,,PASS,
Lich,29236,PASS,,PASS,,PASS,PASS,,,PASS,PASS
Lion,35388,PASS,,PASS,,,,,,,
Lissy,1001,PASS,,PASS,,PASS,PASS,,,,
Locke,41128,PASS,PASS,PASS,PASS,PASS,PASS,,,PASS,PASS
