,Birth #,Nickname,Rank,Unit,Role,TiG,TiS,LastPromotion,Start of Service,Recruiter,Status / Initial,UTC,Notes,,,,,,
CR-C,50120,James,Cadet,Training,Trooper,124 DAY(S),306 DAY(S),20210120,20200722,Ethan,Class 86/ Cycle 3,,Probation: 15,Could not sign into website,,,,,
"CR Initial Training Class, Date Stamp: (07/09/2020) Class #82 Cycle 3",,,,,,,,,,,,,,,,,,,
CR-C,30325,Kaph,Cadet,Training,Medic,124 DAY(S),319 DAY(S),20210120,20200709,Virtox,Class 82/ Cycle 3,,,,,,,,
"CR Initial Training Class, Date Stamp: (07/07/2020) Class #81 Cycle 3",,,,,,,,,,,,,,,,,,,
CR-C,96965,Raily,Cadet,Training,Trooper,124 DAY(S),324 DAY(S),20210120,20200704,Buggs/Dusty,Class 81/ Cycle 3,,,,,,,,
"CR Initial Training Class, Date Stamp: (07/02/2020) Class #80 Cycle 3",,,,,,,,,,,,,,,,,,,
CR-C,21455,Reacher,Cadet,Training,Trooper,124 DAY(S),326 DAY(S),20210120,20200702,Virtox,Class 80/ Cycle 3,,,,,,,,
"CR Initial Training Class, Date Stamp: (06/30/2020) Class #79 Cycle 3",,,,,,,,,,,,,,,,,,,
CR-C,98647,Cairo,Cadet,Training,Marksman,124 DAY(S),331 DAY(S),20210120,20200627,Ethan,Class 79/ Cycle 3,,,,,,,,
CR-C,16151,Serious,Cadet,Training,Marksman,124 DAY(S),331 DAY(S),20210120,20200627,Bridger,Class 79/ Cycle 3,,,,,,,,
CR-C,12230,Punisher,Cadet,Training,Medic,124 DAY(S),329 DAY(S),20210120,20200629,Virtox/Shadow,Class 79/ Cycle 3,,,,,,,,
"CR Initial Training Class, Date Stamp: (06/25/2020) Class #78 Cycle 3",,,,,,,,,,,,,,,,,,,
CR-C,46931,Carbon,Cadet,Training,Medic,124 DAY(S),339 DAY(S),20210120,20200619,Spark,Class 78/ Cycle 3,,Probation: 15,,,,,,
"CR Initial Training Class, Date Stamp: (06/23/2020) Class #77 Cycle 3",,,,,,,,,,,,,,,,,,,
CR-C,11079,Skittera,Cadet,Training,Trooper,124 DAY(S),338 DAY(S),20210120,20200620,Ethan,Class 77/ Cycle 3,,,,,,,,
CR-C,92832,Forte,Cadet,Training,Trooper,124 DAY(S),336 DAY(S),20210120,20200622,"Frisk, Walsh",Class 77/ Cycle 3,,,,,,,,
"CR Initial Training Class, Date Stamp: (06/16/2020) Class #75 Cycle 3",,,,,,,,,,,,,,,,,,,
CR-C,80805,Mocker,Cadet,Training,Medic,124 DAY(S),345 DAY(S),20210120,20200613,Snorri,Class 75/ Cycle 3,,,,,,,,
"CR Initial Training Class, Date Stamp: (10/08/2019) Class #15 Cycle 3",,,,,,,,,,,,,,,,,,,
CR-C,25796,Reaper,Cadet,Training,Marksman,124 DAY(S),596 DAY(S),20210120,20191006,Ripjaw,Class 15/ Cycle 3,,,,,,,,
"CR Initial Training Class, Date Stamp: (02/07/2019) Class #97 AMU",,,,,,,,,,,,,,,,,,,
CR-C,93567,June,Cadet,Training,RTO,124 DAY(S),862 DAY(S),20210120,  20190113,Darkstar,Class 97,,Returning member approved by CC Bondoer,,Name change from Sierra 06/04/19,Filed ELOA 20190604 from 20190605 to 20200901,,,
CR Initial Private Trainings,,,,,,,,,,,,,,,,,,,
CR,51180,Douglas,Recruit,Training,Medic,16 DAY(S),16 DAY(S),20210508,20210508,Ethan,Private 172,,Atom 1st sit in,Prohibition (14),,,,,
CR-C,74259,Noob,Cadet,Training,Marksman,105 DAY(S),114 DAY(S),20210208,20210130, Daunte,Private 160,,,,,,,,
CR-C,19999,Soil,Cadet,Training,Trooper,124 DAY(S),178 DAY(S),20210120,20201127,Bridger,Private 156,,,,,,,,
CR-C,10525,Windso,Cadet,Training,Medic,124 DAY(S),138 DAY(S),20210120,20210106,Brandon,Private 155,,,,,,,,
CR-C,12382,Belg,Cadet,Training,Marksman,124 DAY(S),147 DAY(S),20210120,20201228,Hantar,Private 154,,,,,,,,
CR-C,69356,Jakob,Cadet,Training,Medic,124 DAY(S),156 DAY(S),20210120,20201219,Ethan,Private 153,,Probation: 15,Former 104th Member,,,,,
CR-C,63902,Badger,Cadet,Training,Support,124 DAY(S),175 DAY(S),20210120,20201130,Hantar,Private 150,,,,,,,,
CR-C,29506,Skater,Cadet,Training,Medic,124 DAY(S),221 DAY(S),20210120,20201015,Wag,Private 149,,Probation: 14,,,,,,
CR-C,19012,Ambulance,Cadet,Training,Trooper,124 DAY(S),191 DAY(S),20210120,20201114,Ethan,Private 148,,,,,,,,
CR-C,12096,Gungnir,Cadet,Training,Medic,124 DAY(S),261 DAY(S),20210120,20200905,Cyber,Private 147,,Name changed from Crazy by CC Drifter,,,,,,
CR-C,78888,Flyer,Cadet,Training,Medic,124 DAY(S),290 DAY(S),20210120,20200807,Sparticus,Private 143,,Probation: 14,Returning member approved by CX Scuba,,,,,
CR-C,70283,Lancs,Cadet,Training,Trooper,124 DAY(S),341 DAY(S),20210120,20200617,Snorri,Private 140,,,,,,,,
CR-C,20987,Lynn,Cadet,Training,Grenadier,124 DAY(S),341 DAY(S),20210120,20200617,Dusty,Private 139,,Still downloading mods,Name changed from Fred 06/17/20,,,,,
CR-C,82911,Byers,Cadet,Training,Support,124 DAY(S),362 DAY(S),20210120,20200527,Twine,Private 138,,,,,,,,
CR-C,59510,Don,Cadet,Training,Support,124 DAY(S),380 DAY(S),20210120,20200509,Ethan,Private 137,,,,,,,,
CR-C,15014,Sandman,Cadet,Training,Support,124 DAY(S),471 DAY(S),20210120,20200208,Rayne,Private 106,,"Inactive, needs namechange if he returns",,,,,,
Previous BCT/UTC Classes,,,,,,,,,,,,,,,,,,,
CR-C,26053,Aleks,Cadet,Training,RTO,124 DAY(S),315 DAY(S),20210120,20200713,Ethan/Walsh/Snorri,Class 83/ Cycle 3,,,,,,,,
CR-C,25767,Ripkin,Cadet,Training,Trooper,124 DAY(S),314 DAY(S),20210120,20200714,Snorri/Fluorite,Class 85/ Cycle 3,,,,,,,,
CR-C,50120,James,Cadet,Training,Trooper,124 DAY(S),306 DAY(S),20210120,20200722,Ethan,Class 86/ Cycle 3,,Probation: 15,Could not sign into website,,,,,
CR-C,77044,Waite,Cadet,Training,Medic,124 DAY(S),296 DAY(S),20210120,20200801,Weiss,Class 1/ Cycle 4,,,,,,,,
