,Birth #,Nickname,Rank,Unit,Role,TiG,TiS,LastPromotion,Start of Service,Recruiter,Status / Initial,UTC,Notes,,,,,,
CT,9478,Mimic,Vt. Trooper,Inactive Reserves,Trooper,404 DAY(S),1364 DAY(S),  20200415,  20170829,-,Class 9,-,Moved from Zeta to Inactive Reserves 12/14/2020 - Inactivity,,,,,,
CT,67991,Phoenix,Vt. Trooper,Inactive Reserves,Trooper,400 DAY(S),912 DAY(S),  20200419,  20181124,Josh,Class 84,Alpha43,Moved to inactive reserves 1/8/21,,,,,,
CT,84210,Bonaparte,Vt. Trooper,Inactive Reserves,Trooper,684 DAY(S),1232 DAY(S),  20190710,  20180108,Phantom,-,Charlie3,Moved from RTO Reserves to Inactive Resers 2/4/2020,,,,,,
CT,16175,Boozy ,Vt. Trooper,Inactive Reserves,Trooper,236 DAY(S),1066 DAY(S),  20200930,  20180623,Mountain,Class 44,Bravo22,CT on 1/23/2021,,,,,,
CT,2137,Roster ,Vt. Trooper,Inactive Reserves,Trooper,908 DAY(S),1256 DAY(S),  20181128,  20171215,Earthknite,Cycle 1,Bravo1,Removed from Placed to Inactive Reserves 7/15/2020,,,Removed from Medical Reserves 11/18/2020,,,
CT,9168,Storm,Vt. Trooper,Inactive Reserves,Trooper,348 DAY(S),1345 DAY(S),  20200610,  20170917,Corey,Cycle 1,-,Returning member. Demoted to CR-C from CT per Captain Bondoer. Former CT TiG of 597 Days (Last Promotion 9/28/2017) as of 5/17/2019. Updated TiG as CR-C per Zeta application date: 5/17/2019.,,Moved to Inactives from Placed 04/24/2021,,,,
CT,45632,Muzzer,Vt. Trooper,Inactive Reserves,Trooper,229 DAY(S),1068 DAY(S),  20201007,  20180621,Riley,Class 46,Charlie23,Moved to Inactive Reserves 5/4/2021,,,,,,
CT,74218,Infinite,Vt. Trooper,Inactive Reserves,Zeta Squad Leader,376 DAY(S),1061 DAY(S),  20200513,  20180628,Riley,Class 45,Foxtrot23,Moved to Inactive Reserves 5/22/2021,,,,,,
Troopers,,Senior Troopers,,,,,,,,,,,,,,,,,
CT,14852,Runic,Sr. Trooper,Inactive Reserves,Trooper,901 DAY(S),1078 DAY(S),  20181205,  20180611,Dwarf,Class 40,Echo20,Moved to Reserves 3/16/19,,,,,,
CT,86145,Rayver,Sr. Trooper,Inactive Reserves,Trooper,659 DAY(S),866 DAY(S),  20190804,  20190109,Klown,Class 89,Alpha48,Moved to Reserves on 09/30/19,,,,,,
CT,1721,Enginikts,Sr. Trooper,Inactive Reserves,Trooper,1314 DAY(S),1418 DAY(S),  20171018,  20170706,Pulse,Cycle 1,-,Moved from Mynock to Inactive Reserves 05/05/2020,,,,,,
CT,48892,Dirt,Sr. Trooper,Inactive Reserves,Trooper,1123 DAY(S),1223 DAY(S),  20180427,  20180117,Tyler,Class 1,Bravo5,Moved from Zeta to Inactive Reserves 7/02/2020 - Inactivity,,,,,,
CT,19902,Habit,Sr. Trooper,Inactive Reserves,Trooper,508 DAY(S),780 DAY(S),  20200102,  20190405,Kestrel,Class 114,Phantom 56,Moved to Inactive Reserves from Zeta Applicant Pool 07/18/2020,,,,,,
CT,12013,Dino,Sr. Trooper,Inactive Reserves,Trooper,852 DAY(S),1054 DAY(S),  20190123,  20180705,Mountain,Class 47,Domino23,Moved to Reserves from Medical Reserves 8/21/2020,,,,,,
CT,48385,Wombat,Sr. Trooper,Inactive Reserves,Trooper,953 DAY(S),1126 DAY(S),  20181014,  20180424,Riley,Class 28,Charlie16,Moved to Reserves from Medical Reserves 8/21/2020,,,,,,
CT,5581,Lupus,Sr. Trooper,Inactive Reserves,Trooper,1321 DAY(S),1346 DAY(S),  20171011,  20170916,Vette,-,-,Moved to Reserves from Medical Reserves 8/21/2020,,,,,,
CT,75071,Nudder,Sr. Trooper,Inactive Reserves,Trooper,957 DAY(S),1056 DAY(S),  20181010,  20180703,Eli,Class 50,Bravo28,Moved to Reserves from Medical Reserves 8/21/2020,,,,,,
CT,10223,Ifrus,Sr. Trooper,Inactive Reserves,Trooper,646 DAY(S),874 DAY(S),  20190817,  20190101,Eli,Class 88,Echo48,Moved to Reserves from Medical Reserves 8/21/2020,,,,,,
CT,46978,Cliche,Sr. Trooper,Inactive Reserves,Trooper,551 DAY(S),781 DAY(S),  20191120,  20190404,Klown,Class 113,Valentine 56,Moved to Reserves from Medical Reserves 8/21/2020,,,,,,
CT,4256,Koop,Sr. Trooper,Inactive Reserves,Trooper,859 DAY(S),1262 DAY(S),  20190116,  20171209,Earthknite,Cycle 1,Domino2,Moved to Reserves from Medical Reserves 8/21/2020,,,,,,
CT,39812,Parker,Sr. Trooper,Inactive Reserves,Trooper,404 DAY(S),765 DAY(S),  20200415,  20190420,Narrator,-,Decimate58,Moved to Reserves from Medical Reserves 8/21/2020,,,,,,
CT,41991,Merk,Sr. Trooper,Inactive Reserves,Trooper,656 DAY(S),967 DAY(S),  20190807,  20180930,Courage,Class 75,Hotel37,Moved from Zeta to Inactive Reserves 09/07/2020 - Inactivity,,,,,,
CT,11707,Teacup ,Sr. Trooper,Inactive Reserves,Trooper,488 DAY(S),760 DAY(S),20200122,  20190425,Rayne,Class 122,Valentine 61,Moved from Cyclone to Inactive Reserves 9/15/2020,,,,,,
CT,1153,Kaser,Sr. Trooper,Inactive Reserves,Trooper,1418 DAY(S),1418 DAY(S),  20170706,  20170706,York,-,-,Moved to reserves from Zeta by request - 10/06/2020,,,,,,
CT,37951,Matt,Sr. Trooper,Inactive Reserves,Trooper,369 DAY(S),592 DAY(S),20200520,20191010,Snorri,Class 16/ Cycle 3,Valentine 74,Moved to Reserves 1/5/20,,,,,,
CT,7449,Atlas,Sr. Trooper,Inactive Reserves,Trooper,1139 DAY(S),1235 DAY(S),  20180411,  20180105,Kahdur,-,Echo5,Removed from RTO 1/28/1010,,,,,,
CT,5550,Mungus,Sr. Trooper,Inactive Reserves,Trooper,1391 DAY(S),988 DAY(S),20170802,20180909,Noviix,-,-,Moved from Zeta 01/31/2021,,,,,,
CT,64021,Sunshine,Sr. Trooper,Inactive Reserves,Trooper,119 DAY(S),806 DAY(S),  20210125,  20190310,Denz,Class 106,Phantom 54,Moved to Inactive 3/42021,,,,,,
CT,36985,Holiday,Sr. Trooper,Inactive Reserves,Trooper,777 DAY(S),1088 DAY(S),  20190408,  20180601,Mountain,Private 8,Alpha31,Moved to Inactive 3/17/2021,,,,,,
Troopers,,Troopers,,,,,,,,,,,,,,,,,
CT,3109,Exxon,Trooper,Inactive Reserves,Trooper,1237 DAY(S),1422 DAY(S),  20180103,  20170702,Revan,-,-,,,,,,,
CT,1880,Bobs,Trooper,Inactive Reserves,Trooper,939 DAY(S),1224 DAY(S),  20181028,  20180116,Scuba,Class 39,Golf29,Moved to Inactive Reserves 05/22/2019 from Zeta - See Fancy,,,,,,
CT,61088,Reibre,Trooper,Inactive Reserves,Trooper,834 DAY(S),893 DAY(S),  20190210,  20181213,Klown,Class 87,Bravo44,Moved to Inactive Reserves 05/23/2019 from Zeta - ELOA May 25 - Aug 7,,,,,,
CT,42302,Samot,Trooper,Inactive Reserves,Trooper,862 DAY(S),954 DAY(S),  20190113,  20181013,Barbary/Courage,Private 10,Alpha37,Moved to Inactive Reserves 05/30/2019 from Zeta - ELOA NO RETURN DATE,,,,,,
CT,76009,Redding,Trooper,Inactive Reserves,Trooper,815 DAY(S),851 DAY(S),  20190301,  20190124,Ash,Class 94,Alpha52,Moved to Inactive Reserves 11/09/19 from Zeta - Inactivity,,,,,,
CT,88070,Primus,Trooper,Inactive Reserves,Trooper,631 DAY(S),862 DAY(S),20190901,  20190113,Darkstar,Class 102,Valentine 56,Moved out of Zeta Applicant Pool 1/2/2020,,,,,,
CT,97513,Kavas,Trooper,Inactive Reserves,Trooper,505 DAY(S),560 DAY(S),20200105,20191111,Frost,Class 25/ Cycle 3,Phantom 75,Removed from Zeta to Inactive Reserves 03/03/2020 - Inactivity,,,,,,
CT,23983,Shifty,Trooper,Inactive Reserves,Trooper,1109 DAY(S),1142 DAY(S),  20180511,  20180408,Walsh,Private 4,Alpha15,Removed from Zeta to Inactive Reserves 03/03/2020 - Inactivity,,,,,,
CT,18097,Foxxy,Trooper,Inactive Reserves,Trooper,554 DAY(S),654 DAY(S),20191117,20190809,Tyler,Class 5 / Cycle 3,Valentine60,Removed from Zeta to Inactive Reserves 03/03/2020 - Inactivity,,,,,,
CT,15329,Jakel,Trooper,Inactive Reserves,Trooper,848 DAY(S),956 DAY(S),20190127,20181011,Darkstar,Class 76,Charlie36,Removed from Zeta to Inactive Reserves 06/01/2020 - Inactivity,,,,,,
CT,74679,Graze,Trooper,Inactive Reserves,Trooper,386 DAY(S),545 DAY(S),20200503,20191126,Ethan,Class 29/ Cycle 3,Bravo80,Removed from Zeta to Inactive Reserves 06/01/2020 - Inactivity,,,,,,
CT,63020,Mikado,Trooper,Inactive Reserves,Trooper,421 DAY(S),580 DAY(S),20200329,20191022,Dusty,Private 77,Charlie79,Moved from Zeta to Inactive Reserves 6/22/2020,,,,,,
CT,48376,Apostle,Trooper,Inactive Reserves,Trooper,592 DAY(S),687 DAY(S),20191010,20190707,Maurice,Private 57,Valentine63,Moved from Zeta to Inactive Reserves 07/08/2020 - Requested Discharge,,,,,,
CT,12271,Stretch,Trooper,Inactive Reserves,Trooper,351 DAY(S),605 DAY(S),20200607,20190927,Darkstar,Class,Valentine 73,Moved to Inactive Reserves from Zeta 08/02/2020 - Inactivity,,,,,,
CT,97516,Ayryk,Trooper,Inactive Reserves,Trooper,611 DAY(S),863 DAY(S),20190921,  20190112,Exod,Class 90,Domino49,Moved from Zeta to Inactive Reserves 7/02/2020 - Inactivity  - Removed from RTO 08/05/2020,,,,,,
CT,44060,Runner,Trooper,Inactive Reserves,Trooper,869 DAY(S),968 DAY(S),  20190106,  20180929,Ares/War,Class 74,Bravo37,Moved to Reserves from Zeta 11/21/2019 - Removed from RTO 08/05/2020,,,,,,
CT,17249,Platano,Trooper,Inactive Reserves,Trooper,442 DAY(S),553 DAY(S),20200308,20191118,Ethan,Class 27/ Cycle 3,Valentine 77,Moved from Zeta to Inactive Reserves 7/02/2020 - Inactivity  - Removed from RTO 08/05/2020,,,,,,
CT,16012,Truth,Trooper,Inactive Reserves,Trooper,855 DAY(S),1189 DAY(S),  20190120,  20180220,Orion,Private 2,Foxtrot16,Moved to Reserves from Medical Reserves 8/21/2020,,,,,,
CT,12393,Solace,Trooper,Inactive Reserves,Trooper,869 DAY(S),967 DAY(S),  20190106,  20180930,Alex,Private 20,Bravo36,Moved to Reserves from Medical Reserves 8/21/2020,,,,,,
CT,65540,Coin,Trooper,Inactive Reserves,Trooper,666 DAY(S),730 DAY(S),  20190728,20190525,Clock,Class 125,Decimate 60,Moved to Reserves from Medical Reserves 8/21/2020,,,,,,
CT,19847,Stewie,Trooper,Inactive Reserves,Trooper,715 DAY(S),823 DAY(S),  20190609,  20190221,Darkstar,Class 102,Phantom02,Moved to Reserves from Medical Reserves 8/21/2020,,,,,,
CT,42455,Claymur,Trooper,Inactive Reserves,Trooper,393 DAY(S),463 DAY(S),  20200426,  20200216,Maurice,Class 45/ Cycle 3,Alpha82,Moved to Reserves from Medical Reserves 8/21/2020,,,,,,
CT,86246,Barbary,Trooper,Inactive Reserves,Trooper,480 DAY(S),1059 DAY(S),  20200130,  20180630,Brandon,Class 46,Charlie23,Moved from Acklay Reserves to Reserves 08/24/2020,,,,,,
CT,19019,Hades,Trooper,Inactive Reserves,Trooper,288 DAY(S),356 DAY(S),20200809,20200602,Frisk,Class 72/ Cycle 3,Bravo89,Moved from Zeta to Inactive Reserves 09/23/2020 - ULOA,,,,Returning Member Approved by CC Fancy,,
CT,50593,Treja,Trooper,Inactive Reserves,Trooper,722 DAY(S),853 DAY(S),  20190602,  20190122,Tuch,Class 95,Decimate 53,Moved from Zeta to Inactive Reserves 09/23/2020 - Requested Discharge,,,,,,
CT,61198,Bek,Trooper,Inactive Reserves,Trooper,295 DAY(S),777 DAY(S),20200802,  20190408,Tuff,Class 114,Decimate 56,Moved from Zeta to Inactive Reserves 10/01/2020 - AWOL (Not in unit Discords),,,,,,
CT,42505,Kief,Trooper,Inactive Reserves,Trooper,722 DAY(S),834 DAY(S),  20190602,  20190210,Deci,Class 100,Harbinger 53,Removed from Zeta to Inactive Reserves 10/01/2019 - Inactivity,,,,,,
CT,71337,Gladiator,Trooper,Inactive Reserves,Trooper,281 DAY(S),427 DAY(S),20200816,20200323,Bridger/York/Shadow,Class 53/ Cycle 3,Alpha84,Moved from Zeta to inactive Reserves 11/02/2020 - Inactivity,,,,,,
